Kecmatan,Kelurahan,xcoord,ycoord
Argomulyo,Cebongan,-7.360161409,110.5115585
Argomulyo,Kumpulrejo,-7.363244982,110.4858699
Argomulyo,Ledok,-7.347169674,110.5117056
Argomulyo,Noborejo,-7.377048441,110.5071422
Argomulyo,Randuacir,-7.370736569,110.4980234
Argomulyo,Tegalrejo,-7.346408529,110.5013214
Sidomukti,Dukuh,-7.340849471,110.4839479
Sidomukti,Kalicacing,-7.332439108,110.5024108
Sidomukti,Kecandran,-7.330836767,110.4766557
Sidomukti,Mangunsari,-7.335602508,110.4931798
Sidorejo,Blotongan,-7.298174924,110.4819636
Sidorejo,Bugel,-7.30427425,110.5011559
Sidorejo,Kauman Kidul,-7.30197319,110.5147311
Sidorejo,Pulutan,-7.312285516,110.4815545
Sidorejo,Salatiga,-7.319503032,110.5031025
Sidorejo,Sidorejo Lor,-7.312705447,110.4923244
Tingkir,Gendongan,-7.337035033,110.5091384
Tingkir,Kalibening,-7.347277188,110.5222901
Tingkir,Kutowinangun,-7.324379287,110.5128067
Tingkir,Sidorejo Kidul,-7.335298229,110.5221405
Tingkir,Tingkir Lor,-7.353800688,110.5255084
Tingkir,Tingkir Tengah,-7.35976327,110.5235088
Ambarawa,Baran,-7.241637124,110.3972316
Ambarawa,Bejalen,-7.279061612,110.4153274
Ambarawa,Kranggan,-7.254795864,110.4033396
Ambarawa,Kupang,-7.255974249,110.4123431
Ambarawa,Lodoyong,-7.267009044,110.4091234
Ambarawa,Ngampin,-7.267817555,110.3885492
Ambarawa,Panjang,-7.2612934,110.3980531
Ambarawa,Pasekan,-7.250519317,110.3752183
Ambarawa,Pojoksari,-7.277047224,110.4018144
Ambarawa,Tambakboyo,-7.260560393,110.4223527
Bancak,Bancak,-7.251165208,110.5851827
Bancak,Bantal,-7.231074771,110.6196257
Bancak,Boto,-7.223949454,110.6001417
Bancak,Jlumpang,-7.233752071,110.606681
Bancak,Lembu,-7.274019032,110.6153465
Bancak,Plumutan,-7.255291956,110.6196928
Bancak,Pucung,-7.28474826,110.5780443
Bancak,Rejosari,-7.265472573,110.5968603
Bancak,Wonokerto,-7.2389434,110.5774582
Bandungan,Bandungan,-7.232157154,110.3797406
Bandungan,Banyukuning,-7.215166899,110.3444601
Bandungan,Candi,-7.209248337,110.3689116
Bandungan,Duren,-7.223084391,110.3598187
Bandungan,Jetis,-7.219168414,110.3665665
Bandungan,Jimbaran,-7.197690669,110.3686848
Bandungan,Kenteng,-7.226472342,110.3964893
Bandungan,Mlilir,-7.244611304,110.3443279
Bandungan,Pakopen,-7.202654287,110.3930403
Bandungan,Sidomukti,-7.212656,110.3922966
Banyubiru,Banyubiru,-7.295347135,110.3999483
Banyubiru,Gedong,-7.347131699,110.4402775
Banyubiru,Kebondowo,-7.304031699,110.4111812
Banyubiru,Kebumen,-7.330963368,110.4352983
Banyubiru,Kemambang,-7.322625229,110.3992617
Banyubiru,Ngrapah,-7.290692403,110.3883054
Banyubiru,Rowoboni,-7.310604423,110.4347125
Banyubiru,Sepakung,-7.345238904,110.4069375
Banyubiru,Tegaron,-7.32324856,110.4202216
Banyubiru,Wirogomo,-7.331569168,110.3855896
Bawen,Asinan,-7.260604839,110.4419436
Bawen,Bawen,-7.24415331,110.4339061
Bawen,Doplang,-7.235879684,110.4124363
Bawen,Harjosari,-7.224359178,110.4261167
Bawen,Kandangan,-7.230776779,110.4637181
Bawen,Lemahireng,-7.214996222,110.4513841
Bawen,Polosiri,-7.234753293,110.4816469
Bawen,Poncoruso,-7.213668004,110.4050726
Bawen,Samban,-7.211298232,110.4149126
Bergas,Bergas Kidul,-7.197310852,110.4138865
Bergas,Bergas Lor,-7.185427026,110.4174711
Bergas,Diwak,-7.196529388,110.4322476
Bergas,Gebugan,-7.178518344,110.3835239
Bergas,Gondoriyo,-7.148734626,110.4707297
Bergas,Hutan,-7.167432471,110.3570871
Bergas,Jatijajar,-7.205332917,110.4313531
Bergas,Karangjati,-7.176632453,110.4276411
Bergas,Munding,-7.192104755,110.3826863
Bergas,Ngempon,-7.188330397,110.4363222
Bergas,Pagersari,-7.187395067,110.4008034
Bergas,Randugunting,-7.211015807,110.4282692
Bergas,Wringin Putih,-7.170468816,110.4468047
Bergas,Wujil,-7.175772189,110.4102877
Bringin,Banding,-7.258692188,110.5570998
Bringin,Bringin,-7.247340301,110.5168591
Bringin,Gogodalem,-7.217531504,110.5600384
Bringin,Kalijambe,-7.21921359,110.5253851
Bringin,Kalikurmo,-7.198748188,110.5598011
Bringin,Lebak,-7.243529456,110.5519144
Bringin,Nyemoh,-7.213667892,110.5880584
Bringin,Pakis,-7.248101559,110.5359078
Bringin,Popongan,-7.26037869,110.525953
Bringin,Rembes,-7.22451554,110.5370998
Bringin,Sambirejo,-7.195627889,110.5370598
Bringin,Sendang,-7.23874037,110.5595355
Bringin,Tanjung,-7.213851978,110.5146096
Bringin,Tempuran,-7.203922743,110.6019507
Bringin,Truko,-7.270033658,110.5612708
Bringin,Wiru,-7.220883937,110.5760729
Getasan,Batur,-7.403497282,110.4361932
Getasan,Getasan,-7.374506609,110.437175
Getasan,Jetak,-7.392602824,110.4795084
Getasan,Kopeng,-7.405329464,110.4182262
Getasan,Manggihan,-7.362714142,110.4431799
Getasan,Ngrawan,-7.366879756,110.4252048
Getasan,Nogosaren,-7.358135376,110.4198007
Getasan,Polobogo,-7.351014647,110.4611146
Getasan,Samirono,-7.382617265,110.4670791
Getasan,Sumogawe,-7.369805036,110.4605715
Getasan,Tajuk,-7.414369943,110.4510657
Getasan,Tolokan,-7.374391293,110.4138958
Getasan,Wates,-7.379760267,110.4265009
Jambu,Bedono,-7.310375624,110.3526847
Jambu,Brongkol,-7.303428892,110.3771107
Jambu,Gemawang,-7.317700473,110.3419776
Jambu,Genting,-7.267472192,110.3264716
Jambu,Gondoriyo,-7.268162834,110.3730552
Jambu,Jambu,-7.28018518,110.3731794
Jambu,Kebondalem,-7.279333712,110.3450989
Jambu,Kelurahan,-7.30054331,110.3629908
Jambu,Kuwarasan,-7.276017255,110.3576776
Jambu,Rejosari,-7.288095841,110.3312277
Kaliwungu,Jetis,-7.458797942,110.6026007
Kaliwungu,Kaliwungu,-7.464576452,110.6230035
Kaliwungu,Kener,-7.489729916,110.6350314
Kaliwungu,Kradenan,-7.477245405,110.6380964
Kaliwungu,Mukiran,-7.476913267,110.611199
Kaliwungu,Pager,-7.486566573,110.6238388
Kaliwungu,Papringan,-7.484226599,110.6508652
Kaliwungu,Payungan,-7.46920171,110.5929534
Kaliwungu,Rogomulyo,-7.45124201,110.6069286
Kaliwungu,Siwal,-7.484648662,110.6081743
Kaliwungu,Udanwuh,-7.480940845,110.6308306
Pabelan,Bejaten,-7.287684887,110.5263388
Pabelan,Bendungan,-7.307680145,110.5455851
Pabelan,Giling,-7.27292392,110.5355631
Pabelan,Glawan,-7.298437548,110.5292115
Pabelan,Jembrak,-7.308954949,110.5301848
Pabelan,Kadirejo,-7.285675158,110.5411171
Pabelan,Karanggondang,-7.317919336,110.5439093
Pabelan,Kauman Lor,-7.274015099,110.5196879
Pabelan,Pabelan,-7.289894583,110.5059486
Pabelan,Padaan,-7.271427868,110.5282081
Pabelan,Segiri,-7.318332858,110.5587042
Pabelan,Semowo,-7.294025711,110.5574635
Pabelan,Sukoharjo,-7.319858975,110.5260079
Pabelan,Sumberejo,-7.333366378,110.5537803
Pabelan,Terban,-7.320561398,110.573253
Pabelan,Tukang,-7.307339368,110.5735964
Pabelan,Ujung-ujung,-7.335418326,110.5380709
Pringapus,Candirejo,-7.172227576,110.5309297
Pringapus,Derekan,-7.199164118,110.4448378
Pringapus,Jatirunggo,-7.203322308,110.4913945
Pringapus,Klepu,-7.179088853,110.4614011
Pringapus,Penawangan,-7.141083136,110.5188098
Pringapus,Pringapus,-7.197288778,110.4637353
Pringapus,Pringsari,-7.189833064,110.4807969
Pringapus,Wonorejo,-7.160049543,110.4924345
Pringapus,Wonoyoso,-7.181408465,110.5009443
Sumowono,Bumen,-7.204689262,110.3272408
Sumowono,Candigaron,-7.241680648,110.2875483
Sumowono,Duren,-7.207128351,110.2635635
Sumowono,Jubelan,-7.214127366,110.3310848
Sumowono,Kebonagung,-7.261868955,110.3003056
Sumowono,Kemawi,-7.198445457,110.3145549
Sumowono,Kemitir,-7.224722031,110.2771596
Sumowono,Keseneng,-7.198718435,110.2848528
Sumowono,Lanjan,-7.23607834,110.3155627
Sumowono,Losari,-7.206142653,110.3145067
Sumowono,Mendongan,-7.213747766,110.3077293
Sumowono,Ngadikerso,-7.251202789,110.3127751
Sumowono,Piyanggang,-7.204031353,110.2993984
Sumowono,Pledokan,-7.210133777,110.2838381
Sumowono,Sumowono,-7.220551079,110.3179585
Sumowono,Trayu,-7.221595894,110.2975115
Suruh,Beji Lor,-7.386548945,110.5630725
Suruh,Bonomerto,-7.367554141,110.6201685
Suruh,Cukilan,-7.333275345,110.596436
Suruh,Dadapayam,-7.300265678,110.5974694
Suruh,Dersansari,-7.384583472,110.5798397
Suruh,Gunung Tumpeng,-7.349503768,110.6058741
Suruh,Jatirejo,-7.380725069,110.5702467
Suruh,Kebowan,-7.381633011,110.5472467
Suruh,Kedungringin,-7.338302983,110.6284789
Suruh,Ketanggi,-7.380480778,110.5977532
Suruh,Krandon Lor,-7.342187516,110.5742999
Suruh,Medayu,-7.36516783,110.6016884
Suruh,Plumbon,-7.361817647,110.5565262
Suruh,Purworejo,-7.38125672,110.5865677
Suruh,Reksosari,-7.359855249,110.5876127
Suruh,Sukorejo,-7.355368478,110.625644
Suruh,Suruh,-7.363102231,110.570253
Susukan,Badran,-7.437264563,110.5741148
Susukan,Bakalrejo,-7.40998942,110.6280522
Susukan,Gentan,-7.396992944,110.6209704
Susukan,Kemetul,-7.392259482,110.5567245
Susukan,Kenteng,-7.405043043,110.5637392
Susukan,Ketapang,-7.412064372,110.6080247
Susukan,Koripan,-7.397069304,110.5879564
Susukan,Muncar,-7.378076599,110.6213639
Susukan,Ngasinan,-7.381913408,110.6074018
Susukan,Sidoharjo,-7.401152553,110.5994245
Susukan,Susukan,-7.413398965,110.5904095
Susukan,Tawang,-7.431375067,110.6212508
Susukan,Timpik,-7.432444851,110.5980498
Tengaran,Barukan,-7.35491995,110.5442298
Tengaran,Bener,-7.372992647,110.5208712
Tengaran,Butuh,-7.403659485,110.5058049
Tengaran,Cukil,-7.40150887,110.5376906
Tengaran,Duren,-7.421213296,110.5705948
Tengaran,Karangduren,-7.391350301,110.5210486
Tengaran,Klero,-7.408542704,110.5196605
Tengaran,Nyamat,-7.349022219,110.5381485
Tengaran,Patemon,-7.398395904,110.4931117
Tengaran,Regunung,-7.414168251,110.5451326
Tengaran,Sruwen,-7.426780461,110.5398821
Tengaran,Sugihan,-7.438816333,110.5541071
Tengaran,Tegalrejo,-7.430406565,110.5229534
Tengaran,Tegalwaton,-7.372627061,110.5362983
Tengaran,Tengaran,-7.419991559,110.5224718
Tuntang,Candirejo,-7.300083344,110.4606254
Tuntang,Delik,-7.25650957,110.4718715
Tuntang,Gedangan,-7.32755696,110.4655142
Tuntang,Jombor,-7.309380908,110.4675426
Tuntang,Kalibeji,-7.328534961,110.4518588
Tuntang,Karanganyar,-7.261889473,110.505994
Tuntang,Karangtengah,-7.274208534,110.5083094
Tuntang,Kesongo,-7.288008097,110.4668054
Tuntang,Lopait,-7.278359169,110.4632004
Tuntang,Ngajaran,-7.226230325,110.5054047
Tuntang,Rowosari,-7.311343603,110.4487685
Tuntang,Sraten,-7.3133104,110.458782
Tuntang,Tlogo,-7.264173414,110.4876409
Tuntang,Tlompakan,-7.247460275,110.4964671
Tuntang,Tuntang,-7.268730438,110.4538012
Tuntang,Watuagung,-7.27682224,110.4867983
Ungaran Barat,Bandarjo,-7.116149089,110.4092781
Ungaran Barat,Branjang,-7.11187018,110.363338
Ungaran Barat,Candirejo,-7.151630485,110.401194
Ungaran Barat,Genuk,-7.14083773,110.4043766
Ungaran Barat,Gogik,-7.160567955,110.3955103
Ungaran Barat,Kalisidi,-7.130769799,110.3639331
Ungaran Barat,Keji,-7.120776812,110.3838101
Ungaran Barat,Langensari,-7.165651713,110.4107559
Ungaran Barat,Lerep,-7.134703675,110.3806999
Ungaran Barat,Nyatnyono,-7.145574721,110.3878253
Ungaran Barat,Ungaran,-7.127585943,110.4045694
Ungaran Timur,Beji,-7.160522161,110.426578
Ungaran Timur,Gedanganak,-7.150813349,110.4156067
Ungaran Timur,Kalikayen,-7.089259187,110.4678303
Ungaran Timur,Kalirejo,-7.136042484,110.4238128
Ungaran Timur,Kalongan,-7.135662572,110.4464523
Ungaran Timur,Kawengen,-7.113806581,110.483408
Ungaran Timur,Leyangan,-7.151409714,110.4339603
Ungaran Timur,Mluweh,-7.103937465,110.4544081
Ungaran Timur,Sidomulyo,-7.13481375,110.4121565
Ungaran Timur,Susukan,-7.110789886,110.4275069
Waduk Rawapening,Waduk Rawapening,-7.286465693,110.4334649